date;KM;T;F;E;G
2017-01-02 19:00:00;0,68;0,2;3,41;8,72;0,0
2017-01-02 20:00:00;0,76;-0,1;3,38;8,33;0,0
2017-01-02 21:00:00;0,79;-0,3;3,33;8,01;0,0
2017-01-02 22:00:00;0,67;0,0;3,4;8,49;0,0
2017-01-02 23:00:00;0,76;0,4;3,5;9,15;0,0
2017-01-03 00:00:00;0,75;0,6;3,67;9,78;0,0
2017-01-03 01:00:00;0,71;1,1;3,76;10,52;0,0
2017-01-03 02:00:00;0,76;1,3;3,82;10,86;0,0
2017-01-03 03:00:00;0,71;1,6;3,95;11,48;0,0
2017-01-03 04:00:00;0,69;1,9;3,99;11,89;0,0
2017-01-03 05:00:00;0,73;2,1;4,0;12,12;0,0
2017-01-03 06:00:00;0,8;2,2;4,03;12,3;0,0
2017-01-03 07:00:00;0,68;2,3;4,06;12,47;0,0
2017-01-03 08:00:00;0,74;2,6;4,15;12,99;2,78
2017-01-03 09:00:00;0,75;2,8;4,16;13,23;11,12
2017-01-03 10:00:00;0,75;3,1;4,2;13,64;25,0
2017-01-03 11:00:00;0,75;3,4;4,24;14,05;44,45
2017-01-03 12:00:00;0,75;3,7;4,19;14,21;36,12
2017-01-03 13:00:00;0,75;3,4;4,29;14,17;25,0
2017-01-03 14:00:00;0,75;3,4;4,34;14,29;19,45
2017-01-03 15:00:00;0,75;3,6;4,35;14,53;5,56
2017-01-03 16:00:00;0,75;3,8;4,32;14,63;0,0
2017-01-03 17:00:00;0,75;3,8;4,22;14,38;0,0
2017-01-03 18:00:00;0,75;3,3;4,17;13,75;0,0
2017-01-03 19:00:00;0,75;2,5;4,07;12,71;0,0
2017-01-03 20:00:00;0,75;2,6;4,19;13,11;0,0
2017-01-03 21:00:00;0,75;2,9;4,24;13,52;0,0
2017-01-03 22:00:00;0,75;3,6;4,35;14,53;0,0
2017-01-03 23:00:00;0,75;4,1;4,41;15,17;0,0
2017-01-04 00:00:00;0,75;4,2;4,54;15,61;0,0
2017-01-04 01:00:00;0,75;4,6;4,57;16,07;0,0
2017-01-04 02:00:00;0,75;3,8;4,42;14,89;0,0
2017-01-04 03:00:00;0,75;2,8;4,25;13,46;0,0
2017-01-04 04:00:00;0,75;3,3;4,21;13,87;0,0
2017-01-04 05:00:00;0,75;3,2;3,85;12,86;0,0
2017-01-04 06:00:00;0,75;3,0;3,94;12,87;0,0
2017-01-04 07:00:00;0,75;3,9;4,04;14,06;0,0
2017-01-04 08:00:00;0,75;4,1;3,9;13,89;11,12
2017-01-04 09:00:00;0,77;4,3;3,8;13,85;36,12
2017-01-04 10:00:00;0,76;3,8;3,92;13,63;58,34
2017-01-04 11:00:00;0,69;4,6;3,93;14,49;80,56
2017-01-04 12:00:00;0,77;3,4;4,15;13,81;36,12
2017-01-04 13:00:00;0,72;1,2;3,71;10,48;125,0
2017-01-04 14:00:00;0,77;1,9;3,77;11,34;44,45
2017-01-04 15:00:00;0,76;1,8;3,66;10,96;8,34
2017-01-04 16:00:00;0,72;2,1;3,47;10,8;0,0
2017-01-04 17:00:00;0,69;1,0;3,33;9,33;0,0
2017-01-04 18:00:00;0,81;1,0;3,33;9,33;0,0
2017-01-04 19:00:00;0,73;0,7;3,42;9,25;0,0
2017-01-04 20:00:00;0,74;1,0;3,29;9,23;0,0
2017-01-04 21:00:00;0,72;1,0;3,41;9,53;0,0
2017-01-04 22:00:00;0,73;-0,1;3,22;7,95;0,0
2017-01-04 23:00:00;0,77;-0,1;3,15;7,77;0,0
2017-01-05 00:00:00;0,77;-0,4;3,19;7,57;0,0
2017-01-05 01:00:00;0,76;-0,4;2,93;6,92;0,0
2017-01-05 02:00:00;0,74;-0,6;2,89;6,62;0,0
2017-01-05 03:00:00;0,72;-0,9;2,79;6,07;0,0
2017-01-05 04:00:00;0,8;-1,4;2,76;5,48;0,0
2017-01-05 05:00:00;0,76;-1,5;2,71;5,24;0,0
2017-01-05 06:00:00;0,75;-1,5;2,64;5,07;0,0
2017-01-05 07:00:00;0,74;-1,9;2,6;4,56;0,0
2017-01-05 08:00:00;0,71;-2,1;2,49;4,1;16,67
2017-01-05 09:00:00;0,72;-2,1;2,56;4,26;58,34
2017-01-05 10:00:00;0,76;-2,2;2,38;3,71;102,78
2017-01-05 11:00:00;0,72;-1,8;2,18;3,63;105,56
2017-01-05 12:00:00;0,71;-1,6;1,98;3,33;105,56
2017-01-05 13:00:00;0,77;-2,0;1,73;2,29;125,0
2017-01-05 14:00:00;0,71;-2,2;1,73;2,11;113,89
2017-01-05 15:00:00;0,8;-4,2;2,35;1,63;47,23
2017-01-05 16:00:00;0,71;-4,2;1,83;0,32;0,0
2017-01-05 17:00:00;0,76;-4,9;1,79;-0,5;0,0
2017-01-05 18:00:00;0,79;-5,1;1,76;-0,77;0,0
2017-01-05 19:00:00;0,77;-5,5;1,73;-1,24;0,0
2017-01-05 20:00:00;0,75;-5,9;1,7;-1,71;0,0
2017-01-05 21:00:00;0,81;-6,2;1,69;-2,05;0,0
2017-01-05 22:00:00;0,71;-6,2;1,71;-1,99;0,0
2017-01-05 23:00:00;0,79;-6,0;1,72;-1,78;0,0
2017-01-06 00:00:00;0,72;-6,1;1,7;-1,92;0,0
2017-01-06 01:00:00;0,82;-6,2;1,69;-2,05;0,0
2017-01-06 02:00:00;0,7;-6,6;1,68;-2,47;0,0
2017-01-06 03:00:00;0,74;-6,8;1,66;-2,73;0,0
2017-01-06 04:00:00;0,8;-6,8;1,64;-2,79;0,0
2017-01-06 05:00:00;0,75;-6,7;1,63;-2,71;0,0
2017-01-06 06:00:00;0,78;-7,0;1,66;-2,94;0,0
2017-01-06 07:00:00;0,7;-7,4;1,65;-3,36;0,0
2017-01-06 08:00:00;0,77;-7,3;1,68;-3,17;27,78
2017-01-06 09:00:00;0,77;-6,1;1,77;-1,74;125,0
2017-01-06 10:00:00;0,8;-5,3;1,86;-0,72;202,78
2017-01-06 11:00:00;0,79;-4,5;1,92;0,25;244,45
2017-01-06 12:00:00;0,74;-3,4;2,0;1,56;241,67
2017-01-06 13:00:00;0,81;-2,7;2,01;2,3;200,0
2017-01-06 14:00:00;0,82;-2,9;1,86;1,72;122,23
2017-01-06 15:00:00;0,8;-3,6;1,97;1,28;33,34
2017-01-06 16:00:00;0,74;-5,2;1,87;-0,58;0,0
2017-01-06 17:00:00;0,82;-5,5;1,86;-0,93;0,0
2017-01-06 18:00:00;0,76;-6,5;1,77;-2,16;0,0
2017-01-06 19:00:00;0,82;-6,1;1,85;-1,56;0,0
2017-01-06 20:00:00;0,7;-6,5;1,79;-2,1;0,0
2017-01-06 21:00:00;0,8;-7,3;1,73;-3,07;0,0
2017-01-06 22:00:00;0,74;-7,2;1,79;-2,82;0,0
2017-01-06 23:00:00;0,79;-8,1;1,73;-3,87;0,0
2017-01-07 00:00:00;0,73;-8,1;1,69;-3,98;0,0
2017-01-07 01:00:00;0,77;-8,0;1,68;-3,89;0,0
2017-01-07 02:00:00;0,75;-7,3;1,62;-3,34;0,0
2017-01-07 03:00:00;0,79;-7,3;1,64;-3,28;0,0
2017-01-07 04:00:00;0,76;-7,0;1,66;-2,94;0,0
2017-01-07 05:00:00;0,67;-7,0;1,7;-2,83;0,0
2017-01-07 06:00:00;0,83;-6,8;1,73;-2,56;0,0
2017-01-07 07:00:00;0,74;-6,7;1,72;-2,49;0,0
2017-01-07 08:00:00;0,82;-6,2;1,67;-2,11;13,89
2017-01-07 09:00:00;0,82;-6,1;1,73;-1,86;41,67
2017-01-07 10:00:00;0,73;-5,7;1,78;-1,32;77,78
2017-01-07 11:00:00;0,8;-5,2;1,77;-0,84;75,0
2017-01-07 12:00:00;0,8;-4,7;1,81;-0,23;61,12
2017-01-07 13:00:00;0,83;-4,7;1,92;0,05;41,67
2017-01-07 14:00:00;0,86;-5,0;2,06;0,09;19,45
2017-01-07 15:00:00;0,86;-5,1;2,17;0,27;8,34
2017-01-07 16:00:00;0,76;-5,0;2,19;0,42;0,0
2017-01-07 17:00:00;0,81;-5,0;2,29;0,68;0,0
2017-01-07 18:00:00;0,85;-4,7;2,37;1,18;0,0
2017-01-07 19:00:00;0,79;-4,4;2,45;1,68;0,0
2017-01-07 20:00:00;0,76;-4,1;2,51;2,13;0,0
2017-01-07 21:00:00;0,79;-3,8;2,6;2,64;0,0
2017-01-07 22:00:00;0,74;-3,6;2,67;3,02;0,0
2017-01-07 23:00:00;0,83;-3,2;2,81;3,77;0,0
2017-01-08 00:00:00;0,77;-3,0;2,82;4,0;0,0
2017-01-08 01:00:00;0,75;-2,8;2,89;4,39;0,0
2017-01-08 02:00:00;0,75;-2,7;2,91;4,54;0,0
2017-01-08 03:00:00;0,78;-2,5;2,96;4,85;0,0
2017-01-08 04:00:00;0,76;-2,5;2,96;4,85;0,0
2017-01-08 05:00:00;0,75;-2,2;3,05;5,4;0,0
2017-01-08 06:00:00;0,77;-2,1;3,04;5,48;0,0
2017-01-08 07:00:00;0,71;-2,3;2,97;5,09;0,0
2017-01-08 08:00:00;0,79;-2,6;2,93;4,7;5,56
2017-01-08 09:00:00;0,77;-2,7;2,82;4,31;19,45
2017-01-08 10:00:00;0,77;-2,5;2,86;4,62;52,78
2017-01-08 11:00:00;0,72;-2,5;2,83;4,54;77,78
2017-01-08 12:00:00;0,8;-2,4;2,76;4,45;50,0
2017-01-08 13:00:00;0,76;-2,1;2,88;5,07;52,78
2017-01-08 14:00:00;0,81;-2,1;2,88;5,07;25,0
2017-01-08 15:00:00;0,7;-2,3;2,84;4,77;8,34
2017-01-08 16:00:00;0,8;-2,4;2,82;4,61;0,0
2017-01-08 17:00:00;0,81;-2,4;2,88;4,77;0,0
2017-01-08 18:00:00;0,74;-2,4;2,82;4,61;0,0
2017-01-08 19:00:00;0,82;-2,2;2,86;4,92;0,0
2017-01-08 20:00:00;0,77;-2,3;2,87;4,85;0,0
2017-01-08 21:00:00;0,75;-2,4;2,88;4,77;0,0
2017-01-08 22:00:00;0,8;-2,1;2,95;5,24;0,0
2017-01-08 23:00:00;0,78;-2,1;2,98;5,32;0,0
2017-01-09 00:00:00;0,74;-2,4;2,98;5,01;0,0
2017-01-09 01:00:00;0,79;-2,5;3,02;5,01;0,0
2017-01-09 02:00:00;0,75;-2,4;3,01;5,09;0,0
2017-01-09 03:00:00;0,74;-2,3;2,97;5,09;0,0
2017-01-09 04:00:00;0,81;-2,2;2,96;5,16;0,0
2017-01-09 05:00:00;0,69;-2,1;3,04;5,48;0,0
2017-01-09 06:00:00;0,85;-2,0;3,07;5,64;0,0
2017-01-09 07:00:00;0,8;-1,8;3,11;5,95;0,0
2017-01-09 08:00:00;0,73;-1,8;3,11;5,95;8,34
2017-01-09 09:00:00;0,8;-1,6;3,13;6,19;25,0
2017-01-09 10:00:00;0,79;-1,5;3,15;6,35;38,89
2017-01-09 11:00:00;0,79;-1,4;3,14;6,42;50,0
2017-01-09 12:00:00;0,78;-1,1;3,17;6,81;58,34
2017-01-09 13:00:00;0,74;-1,0;3,23;7,06;41,67
2017-01-09 14:00:00;0,73;-0,8;3,24;7,29;27,78
2017-01-09 15:00:00;0,78;-0,8;3,28;7,38;8,34
2017-01-09 16:00:00;0,7;-0,8;3,31;7,47;0,0
2017-01-09 17:00:00;0,75;-0,7;3,34;7,63;0,0
2017-01-09 18:00:00;0,76;-0,7;3,38;7,72;0,0
2017-01-09 19:00:00;0,81;-0,6;3,4;7,88;0,0
2017-01-09 20:00:00;0,76;-0,6;3,36;7,79;0,0
2017-01-09 21:00:00;0,81;-0,6;3,36;7,79;0,0
2017-01-09 22:00:00;0,75;-0,6;3,25;7,52;0,0
2017-01-09 23:00:00;0,75;-0,4;3,04;7,2;0,0
2017-01-10 00:00:00;0,74;-0,6;2,93;6,71;0,0
2017-01-10 01:00:00;0,82;-1,0;2,81;6,0;0,0
2017-01-10 02:00:00;0,68;-1,0;2,84;6,09;0,0
2017-01-10 03:00:00;0,75;-1,0;2,77;5,91;0,0
2017-01-10 04:00:00;0,81;-1,4;2,73;5,4;0,0
2017-01-10 05:00:00;0,76;-1,5;2,67;5,16;0,0
2017-01-10 06:00:00;0,72;-2,3;2,52;3,97;0,0
2017-01-10 07:00:00;0,77;-2,7;2,51;3,53;0,0
2017-01-10 08:00:00;0,75;-2,9;2,5;3,32;30,56
2017-01-10 09:00:00;0,77;-2,2;2,54;4,12;130,56
2017-01-10 10:00:00;0,69;-1,6;2,52;4,67;205,56
2017-01-10 11:00:00;0,8;-0,4;2,6;6,1;191,67
2017-01-10 12:00:00;0,73;0,5;2,66;7,15;238,89
2017-01-10 13:00:00;0,75;0,8;2,64;7,4;202,78
2017-01-10 14:00:00;0,81;0,6;2,64;7,2;122,23
2017-01-10 15:00:00;0,8;-0,1;2,59;6,36;33,34
2017-01-10 16:00:00;0,73;-1,2;2,52;5,09;0,0
2017-01-10 17:00:00;0,71;-1,9;2,43;4,15;0,0
2017-01-10 18:00:00;0,75;-2,4;2,41;3,58;0,0
2017-01-10 19:00:00;0,75;-3,1;2,34;2,72;0,0
2017-01-10 20:00:00;0,82;-3,8;2,23;1,72;0,0
2017-01-10 21:00:00;0,75;-4,7;2,05;0,38;0,0
2017-01-10 22:00:00;0,81;-5,4;1,95;-0,6;0,0
2017-01-10 23:00:00;0,69;-6,0;1,88;-1,36;0,0
2017-01-11 00:00:00;0,81;-6,6;1,8;-2,18;0,0
2017-01-11 01:00:00;0,72;-6,8;1,77;-2,45;0,0
2017-01-11 02:00:00;0,77;-6,9;1,69;-2,75;0,0
2017-01-11 03:00:00;0,76;-6,8;1,64;-2,79;0,0
2017-01-11 04:00:00;0,74;-7,0;1,57;-3,16;0,0
2017-01-11 05:00:00;0,72;-6,7;1,6;-2,77;0,0
2017-01-11 06:00:00;0,8;-7,0;1,61;-3,05;0,0
2017-01-11 07:00:00;0,73;-7,3;1,57;-3,45;0,0
2017-01-11 08:00:00;0,71;-7,1;1,6;-3,18;8,34
2017-01-11 09:00:00;0,76;-6,5;1,63;-2,51;36,12
2017-01-11 10:00:00;0,75;-5,4;1,74;-1,11;88,89
2017-01-11 11:00:00;0,75;-4,2;1,97;0,67;108,34
2017-01-11 12:00:00;0,72;-2,7;2,2;2,76;69,45
2017-01-11 13:00:00;0,75;-1,7;2,4;4,28;77,78
2017-01-11 14:00:00;0,8;-1,7;2,94;5,61;8,34
2017-01-11 15:00:00;0,74;-0,9;3,33;7,4;5,56
2017-01-11 16:00:00;0,81;-0,2;3,54;8,63;0,0
2017-01-11 17:00:00;0,75;0,2;3,64;9,3;0,0
2017-01-11 18:00:00;0,78;1,3;3,86;10,96;0,0
2017-01-11 19:00:00;0,81;1,7;4,02;11,76;0,0
2017-01-11 20:00:00;0,84;2,1;4,09;12,34;0,0
2017-01-11 21:00:00;0,79;3,3;4,21;13,87;0,0
2017-01-11 22:00:00;0,78;3,2;4,14;13,58;0,0
2017-01-11 23:00:00;0,78;3,5;4,18;13,98;0,0
2017-01-12 00:00:00;0,78;3,6;4,11;13,91;0,0
2017-01-12 01:00:00;0,78;3,5;4,03;13,61;0,0
2017-01-12 02:00:00;0,78;3,6;3,96;13,54;0,0
2017-01-12 03:00:00;0,78;3,5;3,88;13,25;0,0
2017-01-12 04:00:00;0,78;3,4;3,81;12,96;0,0
2017-01-12 05:00:00;0,78;3,3;3,78;12,79;0,0
2017-01-12 06:00:00;0,78;3,2;3,75;12,62;0,0
2017-01-12 07:00:00;0,78;3,2;3,75;12,62;0,0
2017-01-12 08:00:00;0,79;3,5;3,74;12,88;11,12
2017-01-12 09:00:00;0,75;3,6;3,71;12,93;41,67
2017-01-12 10:00:00;0,76;4,0;3,67;13,22;47,23
2017-01-12 11:00:00;0,76;3,8;3,82;13,39;86,12
2017-01-12 12:00:00;0,76;4,6;3,72;13,96;105,56
2017-01-12 13:00:00;0,73;5,0;3,67;14,22;80,56
2017-01-12 14:00:00;0,81;4,9;3,69;14,19;63,89
2017-01-12 15:00:00;0,8;4,2;3,72;13,55;13,89
2017-01-12 16:00:00;0,71;3,6;3,71;12,93;0,0
2017-01-12 17:00:00;0,85;3,2;3,75;12,62;0,0
2017-01-12 18:00:00;0,86;3,1;3,73;12,45;0,0
2017-01-12 19:00:00;0,78;3,4;3,61;12,47;0,0
2017-01-12 20:00:00;0,77;3,2;3,52;12,02;0,0
2017-01-12 21:00:00;0,82;2,5;3,53;11,34;0,0
2017-01-12 22:00:00;0,77;2,3;3,52;11,12;0,0
2017-01-12 23:00:00;0,77;2,2;3,5;10,96;0,0
2017-01-13 00:00:00;0,77;2,2;3,54;11,07;0,0
2017-01-13 01:00:00;0,77;2,1;3,6;11,13;0,0
2017-01-13 02:00:00;0,77;1,9;3,64;11,01;0,0
2017-01-13 03:00:00;0,77;1,9;3,73;11,23;0,0
2017-01-13 04:00:00;0,77;1,0;3,78;10,45;0,0
2017-01-13 05:00:00;0,77;1,6;3,9;11,37;0,0
2017-01-13 06:00:00;0,77;2,1;4,0;12,12;0,0
2017-01-13 07:00:00;0,77;2,5;4,12;12,82;0,0
2017-01-13 08:00:00;0,75;2,8;4,16;13,23;13,89
2017-01-13 09:00:00;0,68;2,3;4,01;12,36;22,23
2017-01-13 10:00:00;0,78;2,0;4,1;12,28;27,78
2017-01-13 11:00:00;0,81;2,3;4,1;12,58;44,45
2017-01-13 12:00:00;0,7;1,6;3,95;11,48;36,12
2017-01-13 13:00:00;0,78;0,8;3,8;10,31;27,78
2017-01-13 14:00:00;0,77;1,0;3,78;10,45;16,67
2017-01-13 15:00:00;0,81;1,6;3,86;11,26;5,56
2017-01-13 16:00:00;0,79;1,7;4,02;11,76;0,0
2017-01-13 17:00:00;0,76;1,5;3,96;11,41;0,0
2017-01-13 18:00:00;0,83;1,7;3,97;11,65;0,0
2017-01-13 19:00:00;0,81;1,6;3,82;11,16;0,0
2017-01-13 20:00:00;0,81;1,6;3,82;11,16;0,0
2017-01-13 21:00:00;0,81;1,3;3,69;10,54;0,0
2017-01-13 22:00:00;0,83;0,7;3,58;9,64;0,0
2017-01-13 23:00:00;0,78;0,2;3,53;9,01;0,0
2017-01-14 00:00:00;0,78;-0,5;3,35;7,87;0,0
2017-01-14 01:00:00;0,71;-0,7;3,19;7,27;0,0
2017-01-14 02:00:00;0,81;-1,1;3,1;6,64;0,0
2017-01-14 03:00:00;0,74;-1,3;3,02;6,23;0,0
2017-01-14 04:00:00;0,83;-1,4;2,97;5,99;0,0
2017-01-14 05:00:00;0,79;-1,3;3,13;6,49;0,0
2017-01-14 06:00:00;0,82;-1,0;3,2;6,97;0,0
2017-01-14 07:00:00;0,76;-0,9;3,22;7,13;0,0
2017-01-14 08:00:00;0,79;-0,8;3,31;7,47;8,34
2017-01-14 09:00:00;0,73;0,0;3,32;8,3;16,67
2017-01-14 10:00:00;0,79;0,1;3,43;8,66;30,56
2017-01-14 11:00:00;0,81;0,5;3,45;9,12;66,67
2017-01-14 12:00:00;0,76;0,8;3,56;9,71;33,34
2017-01-14 13:00:00;0,83;1,0;3,66;10,14;152,78
2017-01-14 14:00:00;0,71;2,3;3,74;11,68;100,0
2017-01-14 15:00:00;0,78;2,0;3,49;10,74;22,23
2017-01-14 16:00:00;0,82;1,6;3,48;10,3;0,0
2017-01-14 17:00:00;0,7;1,8;3,4;10,31;0,0
2017-01-14 18:00:00;0,81;1,5;3,49;10,25;0,0
2017-01-14 19:00:00;0,77;1,3;3,4;9,81;0,0
2017-01-14 20:00:00;0,8;1,3;3,44;9,92;0,0
2017-01-14 21:00:00;0,78;1,2;3,42;9,76;0,0
2017-01-14 22:00:00;0,74;1,0;3,33;9,33;0,0
2017-01-14 23:00:00;0,82;1,0;3,37;9,43;0,0
2017-01-15 00:00:00;0,74;1,0;3,37;9,43;0,0
2017-01-15 01:00:00;0,8;1,0;3,41;9,53;0,0
2017-01-15 02:00:00;0,76;1,1;3,35;9,49;0,0
2017-01-15 03:00:00;0,78;0,8;3,36;9,21;0,0
2017-01-15 04:00:00;0,73;0,8;3,4;9,31;0,0
2017-01-15 05:00:00;0,76;0,3;3,55;9,18;0,0
2017-01-15 06:00:00;0,79;0,5;3,57;9,41;0,0
2017-01-15 07:00:00;0,78;0,5;3,6;9,51;0,0
2017-01-15 08:00:00;0,82;0,6;3,51;9,38;8,34
2017-01-15 09:00:00;0,73;0,5;3,6;9,51;13,89
2017-01-15 10:00:00;0,72;0,6;3,63;9,68;33,34
2017-01-15 11:00:00;0,79;0,7;3,62;9,74;50,0
2017-01-15 12:00:00;0,72;0,9;3,63;9,98;47,23
2017-01-15 13:00:00;0,78;0,7;3,66;9,84;30,56
2017-01-15 14:00:00;0,76;0,7;3,7;9,94;30,56
2017-01-15 15:00:00;0,79;0,6;3,55;9,48;8,34
2017-01-15 16:00:00;0,74;0,5;3,53;9,31;0,0
2017-01-15 17:00:00;0,74;0,3;3,44;8,89;0,0
2017-01-15 18:00:00;0,78;0,1;3,04;7,7;0,0
2017-01-15 19:00:00;0,71;0,0;3,1;7,73;0,0
2017-01-15 20:00:00;0,78;0,0;3,1;7,73;0,0
2017-01-15 21:00:00;0,77;-0,3;3,1;7,45;0,0
2017-01-15 22:00:00;0,78;-0,5;3,21;7,5;0,0
2017-01-15 23:00:00;0,78;-0,6;3,15;7,25;0,0
2017-01-16 00:00:00;0,78;-1,0;3,02;6,53;0,0
2017-01-16 01:00:00;0,78;-0,9;2,97;6,51;0,0
2017-01-16 02:00:00;0,78;-0,9;2,9;6,33;0,0
2017-01-16 03:00:00;0,78;-1,0;2,91;6,27;0,0
2017-01-16 04:00:00;0,78;-1,0;2,88;6,18;0,0
2017-01-16 05:00:00;0,78;-1,8;2,75;5,04;0,0
2017-01-16 06:00:00;0,78;-2,9;2,65;3,7;0,0
2017-01-16 07:00:00;0,78;-4,5;2,44;1,54;0,0
2017-01-16 08:00:00;0,77;-3,8;2,63;2,71;30,56
2017-01-16 09:00:00;0,72;-3,1;2,74;3,7;80,56
2017-01-16 10:00:00;0,78;-2,4;2,82;4,61;127,78
2017-01-16 11:00:00;0,73;-1,8;2,88;5,37;111,12
2017-01-16 12:00:00;0,77;-1,4;2,9;5,82;80,56
2017-01-16 13:00:00;0,77;-1,2;2,94;6,13;63,89
2017-01-16 14:00:00;0,74;-1,6;2,82;5,43;55,56
2017-01-16 15:00:00;0,7;-1,1;2,93;6,2;22,23
2017-01-16 16:00:00;0,76;-1,1;2,96;6,29;0,0
2017-01-16 17:00:00;0,73;-1,2;2,87;5,96;0,0
2017-01-16 18:00:00;0,73;-2,0;2,74;4,82;0,0
2017-01-16 19:00:00;0,72;-1,6;2,79;5,35;0,0
2017-01-16 20:00:00;0,75;-1,0;2,77;5,91;0,0
2017-01-16 21:00:00;0,76;-1,3;2,82;5,72;0,0
2017-01-16 22:00:00;0,78;-1,6;2,89;5,6;0,0
2017-01-16 23:00:00;0,71;-2,2;2,83;4,84;0,0
2017-01-17 00:00:00;0,83;-3,1;2,71;3,62;0,0
2017-01-17 01:00:00;0,69;-3,7;2,62;2,79;0,0
2017-01-17 02:00:00;0,74;-3,8;2,63;2,71;0,0
2017-01-17 03:00:00;0,79;-3,5;2,69;3,17;0,0
2017-01-17 04:00:00;0,74;-4,4;2,45;1,68;0,0
2017-01-17 05:00:00;0,76;-5,6;2,32;0,13;0,0
2017-01-17 06:00:00;0,72;-5,3;2,32;0,44;0,0
2017-01-17 07:00:00;0,8;-5,0;2,42;1,0;2,78
2017-01-17 08:00:00;0,74;-4,9;2,5;1,28;58,34
2017-01-17 09:00:00;0,73;-2,6;2,87;4,54;152,78
2017-01-17 10:00:00;0,77;-1,2;2,77;5,7;233,34
2017-01-17 11:00:00;0,8;0,0;2,83;7,07;272,23
2017-01-17 12:00:00;0,81;0,2;2,87;7,38;275,0
2017-01-17 13:00:00;0,82;0,9;2,86;8,05;230,56
2017-01-17 14:00:00;0,73;0,8;2,88;8,0;150,0
2017-01-17 15:00:00;0,8;-0,2;2,64;6,39;52,78
2017-01-17 16:00:00;0,79;-0,9;2,69;5,8;2,78
2017-01-17 17:00:00;0,79;-1,0;2,81;6,0;0,0
2017-01-17 18:00:00;0,77;-1,8;2,71;4,96;0,0
2017-01-17 19:00:00;0,76;-3,6;2,52;2,65;0,0
2017-01-17 20:00:00;0,77;-3,3;2,61;3,17;0,0
2017-01-17 21:00:00;0,71;-4,4;2,51;1,82;0,0
2017-01-17 22:00:00;0,78;-5,4;2,3;0,29;0,0
2017-01-17 23:00:00;0,75;-5,5;2,38;0,4;0,0
2017-01-18 00:00:00;0,8;-4,9;2,42;1,08;0,0
2017-01-18 01:00:00;0,74;-4,0;2,59;2,42;0,0
2017-01-18 02:00:00;0,68;-5,4;2,25;0,16;0,0
2017-01-18 03:00:00;0,77;-6,2;2,14;-0,93;0,0
2017-01-18 04:00:00;0,77;-5,3;2,45;0,75;0,0
2017-01-18 05:00:00;0,75;-5,0;2,48;1,13;0,0
