date;KM;T;F;E;G
2017-01-01 00:00:00;0,75;3,4;4,1;13,68;0,0
2017-01-01 01:00:00;0,74;3,2;3,9;12,98;0,0
2017-01-01 02:00:00;0,74;2,9;3,77;12,35;0,0
2017-01-01 03:00:00;0,76;2,9;3,82;12,47;0,0
2017-01-01 04:00:00;0,73;2,9;3,82;12,47;0,0
2017-01-01 05:00:00;0,82;2,8;3,83;12,42;0,0
2017-01-01 06:00:00;0,73;2,4;3,68;11,63;0,0
2017-01-01 07:00:00;0,75;1,5;3,54;10,35;0,0
2017-01-01 08:00:00;0,78;0,7;3,38;9,15;30,56
2017-01-01 09:00:00;0,76;0,9;3,35;9,27;52,78
2017-01-01 10:00:00;0,71;1,9;3,47;10,58;177,78
2017-01-01 11:00:00;0,73;2,9;3,53;11,77;113,89
2017-01-01 12:00:00;0,77;3,6;3,52;12,43;77,78
2017-01-01 13:00:00;0,76;3,4;3,37;11,86;33,34
2017-01-01 14:00:00;0,77;3,3;3,4;11,82;13,89
2017-01-01 15:00:00;0,73;3,2;3,37;11,66;5,56
2017-01-01 16:00:00;0,76;3,0;3,37;11,46;0,0
2017-01-01 17:00:00;0,76;2,5;3,25;10,66;0,0
2017-01-01 18:00:00;0,71;2,0;3,18;9,98;0,0
2017-01-01 19:00:00;0,78;1,5;3,16;9,4;0,0
2017-01-01 20:00:00;0,75;1,3;2,99;8,77;0,0
2017-01-01 21:00:00;0,77;0,9;2,9;8,16;0,0
2017-01-01 22:00:00;0,7;0,4;3,03;7,98;0,0
2017-01-01 23:00:00;0,78;0,9;3,14;8,76;0,0
2017-01-02 00:00:00;0,8;0,8;3,12;8,6;0,0
2017-01-02 01:00:00;0,75;-0,1;3,34;8,24;0,0
2017-01-02 02:00:00;0,78;0,1;3,39;8,56;0,0
2017-01-02 03:00:00;0,72;0,4;3,54;9,25;0,0
2017-01-02 04:00:00;0,72;0,5;3,6;9,51;0,0
2017-01-02 05:00:00;0,77;0,6;3,63;9,68;0,0
2017-01-02 06:00:00;0,8;0,8;3,72;10,11;0,0
2017-01-02 07:00:00;0,76;1,0;3,78;10,45;0,0
2017-01-02 08:00:00;0,77;1,1;3,85;10,72;2,78
2017-01-02 09:00:00;0,77;1,2;3,92;11,0;5,56
2017-01-02 10:00:00;0,8;1,5;4,0;11,52;27,78
2017-01-02 11:00:00;0,7;2,2;4,07;12,41;50,0
2017-01-02 12:00:00;0,76;2,6;4,24;13,22;52,78
2017-01-02 13:00:00;0,72;2,8;4,11;13,11;58,34
2017-01-02 14:00:00;0,79;2,8;3,83;12,42;36,12
2017-01-02 15:00:00;0,7;2,5;3,62;11,57;8,34
2017-01-02 16:00:00;0,75;1,8;3,53;10,63;0,0
2017-01-02 17:00:00;0,77;1,0;3,29;9,23;0,0
2017-01-02 18:00:00;0,77;0,7;3,46;9,35;0,0
